step,epoch,loss,avg_epoch_loss,lr,logit_scale,logit_bias,elapsed_s
7550,1,3.186888,4.461337,9.964e-05,23.6903,-0.225896,3530.1
7600,1,2.94191,4.453027,9.963e-05,23.7646,-0.22659,3553.3
7650,1,2.743175,4.44433,9.962e-05,23.8466,-0.227501,3576.2
7700,1,3.515572,4.436053,9.962e-05,23.9129,-0.228365,3599.1
7750,1,3.033161,4.427938,9.961e-05,23.9768,-0.22906,3622.0
7800,1,3.280319,4.420218,9.96e-05,24.0368,-0.229723,3645.0
7850,1,3.220763,4.412387,9.96e-05,24.1018,-0.23041,3667.6
7900,1,3.261982,4.405048,9.959e-05,24.1623,-0.231082,3690.7
7950,1,3.098414,4.397196,9.958e-05,24.2348,-0.231847,3713.5
8000,1,3.050629,4.389187,9.958e-05,24.3113,-0.232679,3736.3
8050,1,3.248518,4.381422,9.957e-05,24.385,-0.233506,3762.6
8100,1,3.106047,4.373728,9.956e-05,24.4516,-0.234236,3785.3
8150,1,3.371109,4.365686,9.955e-05,24.5361,-0.235049,3807.9
8200,1,2.857162,4.357814,9.955e-05,24.6059,-0.2358,3830.4
8250,1,3.227123,4.350582,9.954e-05,24.6631,-0.236502,3853.0
8300,1,2.995395,4.343771,9.953e-05,24.7106,-0.237121,3875.8
8350,1,3.122067,4.336727,9.952e-05,24.7791,-0.237812,3898.9
8400,1,3.315396,4.329179,9.952e-05,24.8599,-0.238582,3921.5
8450,1,3.018124,4.321067,9.951e-05,24.9502,-0.239522,3944.2
8500,1,2.936777,4.313509,9.95e-05,25.0181,-0.240332,3966.9
8550,1,3.23284,4.305885,9.949e-05,25.0884,-0.241088,3989.5
8600,1,3.083392,4.298491,9.949e-05,25.144,-0.241808,4012.2
8650,1,2.822971,4.291038,9.948e-05,25.2031,-0.242481,4034.8
8700,1,3.096796,4.283617,9.947e-05,25.2701,-0.243258,4057.4
8750,1,2.999526,4.276006,9.946e-05,25.331,-0.244065,4080.0
8800,1,2.894996,4.268816,9.945e-05,25.3797,-0.244723,4102.6
8850,1,3.147871,4.261655,9.945e-05,25.4389,-0.245379,4125.1
8900,1,2.834583,4.254416,9.944e-05,25.4917,-0.245888,4147.9
8950,1,2.427378,4.246867,9.943e-05,25.5612,-0.246575,4170.4
9000,1,3.105992,4.239474,9.942e-05,25.6166,-0.247198,4193.1
9050,1,3.217598,4.233305,9.941e-05,25.6422,-0.247544,4219.7
